id,iso_code,location,date,new_cases,new_deaths,reproduction_rate,new_tests,positive_rate,tests_per_case,new_vaccinations,female_smokers,male_smokers,handwashing_facilities,life_expectancy
186132,RWA,Rwanda,2020-03-14,1.0,,,,,,,4.7,21.0,4.617,69.02
186133,RWA,Rwanda,2020-03-15,0.0,,,,,,,4.7,21.0,4.617,69.02
186134,RWA,Rwanda,2020-03-16,4.0,,,,,,,4.7,21.0,4.617,69.02
186135,RWA,Rwanda,2020-03-17,2.0,,,,,,,4.7,21.0,4.617,69.02
186136,RWA,Rwanda,2020-03-18,1.0,,,,,,,4.7,21.0,4.617,69.02
186137,RWA,Rwanda,2020-03-19,0.0,,,,,,,4.7,21.0,4.617,69.02
186138,RWA,Rwanda,2020-03-20,9.0,,,,,,,4.7,21.0,4.617,69.02
186139,RWA,Rwanda,2020-03-21,0.0,,,,,,,4.7,21.0,4.617,69.02
186140,RWA,Rwanda,2020-03-22,2.0,,,,,,,4.7,21.0,4.617,69.02
186141,RWA,Rwanda,2020-03-23,17.0,,,,,,,4.7,21.0,4.617,69.02
186142,RWA,Rwanda,2020-03-24,4.0,,,,,,,4.7,21.0,4.617,69.02
186143,RWA,Rwanda,2020-03-25,1.0,,,,,,,4.7,21.0,4.617,69.02
186144,RWA,Rwanda,2020-03-26,9.0,,,,,,,4.7,21.0,4.617,69.02
186145,RWA,Rwanda,2020-03-27,4.0,,,,,,,4.7,21.0,4.617,69.02
186146,RWA,Rwanda,2020-03-28,6.0,,,,,,,4.7,21.0,4.617,69.02
186147,RWA,Rwanda,2020-03-29,10.0,,,,,,,4.7,21.0,4.617,69.02
186148,RWA,Rwanda,2020-03-30,0.0,,,,,,,4.7,21.0,4.617,69.02
186149,RWA,Rwanda,2020-03-31,5.0,,,,,,,4.7,21.0,4.617,69.02
186150,RWA,Rwanda,2020-04-01,7.0,,,,,,,4.7,21.0,4.617,69.02
186151,RWA,Rwanda,2020-04-02,2.0,,,,,,,4.7,21.0,4.617,69.02
186152,RWA,Rwanda,2020-04-03,5.0,,,,,,,4.7,21.0,4.617,69.02
186153,RWA,Rwanda,2020-04-04,13.0,,,,,,,4.7,21.0,4.617,69.02
186154,RWA,Rwanda,2020-04-05,2.0,,0.45,,,,,4.7,21.0,4.617,69.02
186155,RWA,Rwanda,2020-04-06,1.0,,0.43,,,,,4.7,21.0,4.617,69.02
186156,RWA,Rwanda,2020-04-07,0.0,,0.43,,,,,4.7,21.0,4.617,69.02
186157,RWA,Rwanda,2020-04-08,5.0,,0.46,772.0,,,,4.7,21.0,4.617,69.02
186158,RWA,Rwanda,2020-04-09,0.0,,0.48,720.0,,,,4.7,21.0,4.617,69.02
186159,RWA,Rwanda,2020-04-10,8.0,,0.51,1036.0,,,,4.7,21.0,4.617,69.02
186160,RWA,Rwanda,2020-04-11,2.0,,0.53,842.0,,,,4.7,21.0,4.617,69.02
186161,RWA,Rwanda,2020-04-12,6.0,,0.54,1160.0,,,,4.7,21.0,4.617,69.02
186162,RWA,Rwanda,2020-04-13,1.0,,0.55,901.0,,,,4.7,21.0,4.617,69.02
186163,RWA,Rwanda,2020-04-14,7.0,,0.58,983.0,0.0045,221.1,,4.7,21.0,4.617,69.02
186164,RWA,Rwanda,2020-04-15,2.0,,0.59,923.0,0.004,252.6,,4.7,21.0,4.617,69.02
186165,RWA,Rwanda,2020-04-16,2.0,,0.61,664.0,0.0043,232.5,,4.7,21.0,4.617,69.02
186166,RWA,Rwanda,2020-04-17,5.0,,0.63,760.0,0.004,249.2,,4.7,21.0,4.617,69.02
186167,RWA,Rwanda,2020-04-18,1.0,,0.63,712.0,0.0039,254.3,,4.7,21.0,4.617,69.02
186168,RWA,Rwanda,2020-04-19,3.0,,0.65,722.0,0.0037,269.7,,4.7,21.0,4.617,69.02
186169,RWA,Rwanda,2020-04-20,0.0,,0.67,1299.0,0.0033,303.1,,4.7,21.0,4.617,69.02
186170,RWA,Rwanda,2020-04-21,3.0,,0.72,1449.0,0.0025,408.1,,4.7,21.0,4.617,69.02
186171,RWA,Rwanda,2020-04-22,3.0,,0.77,1038.0,0.0026,390.7,,4.7,21.0,4.617,69.02
186172,RWA,Rwanda,2020-04-23,1.0,,0.82,1343.0,0.0022,457.6,,4.7,21.0,4.617,69.02
186173,RWA,Rwanda,2020-04-24,22.0,,0.89,1046.0,0.0043,230.6,,4.7,21.0,4.617,69.02
186174,RWA,Rwanda,2020-04-25,7.0,,0.96,1275.0,0.0048,209.5,,4.7,21.0,4.617,69.02
186175,RWA,Rwanda,2020-04-26,8.0,,1.01,1025.0,0.0052,192.7,,4.7,21.0,4.617,69.02
186176,RWA,Rwanda,2020-04-27,16.0,,1.06,1214.0,0.0071,139.9,,4.7,21.0,4.617,69.02
186177,RWA,Rwanda,2020-04-28,5.0,,1.05,1505.0,0.0073,136.3,,4.7,21.0,4.617,69.02
186178,RWA,Rwanda,2020-04-29,13.0,,1.05,1705.0,0.0079,126.6,,4.7,21.0,4.617,69.02
186179,RWA,Rwanda,2020-04-30,18.0,,1.02,1140.0,0.01,100.1,,4.7,21.0,4.617,69.02
186180,RWA,Rwanda,2020-05-01,6.0,,0.94,1365.0,0.0079,126.4,,4.7,21.0,4.617,69.02
186181,RWA,Rwanda,2020-05-02,6.0,,0.86,1197.0,0.0079,127.1,,4.7,21.0,4.617,69.02
186182,RWA,Rwanda,2020-05-03,4.0,,0.79,1047.0,0.0074,134.9,,4.7,21.0,4.617,69.02
